id;scope;category;specifikation1;specifikation2;specifikation3;add_name1;comment;in;out;source;factor;monthly_values;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;parent;project
563bc797-e690-4649-8d22-a218ef48fd65;3;Kunststoff;Acrylnitril;;;;;kg;kg;ÖKOBAUDAT;2.86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1835a02b-3c91-4144-b470-0883aa00fe02;3;Kunststoff;Acrylnitril-Butadien-Styrol;;;;;kg;kg;ProBas;3.76;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c770b96a-c071-42f3-9c35-2cc5b4d719c4;3;Metalle;Adamin;;;;;kg;kg;EEW 2023;0.51;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ac141dd1-2e94-4432-bacb-7aa1bb512e59;3;Chemische Grundstoffe und Produkte;Adipinsäure;;;;;kg;kg;EEW 2023;13.2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03362f21-cacd-41d0-b2fe-181d452f943b;1;Direkter Brennstoffeinsatz;Altöl;;;;;kWh;kg;EEW 2023;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;;
e57a95eb-d82c-433b-969c-63d2b0d4ebb4;3;Entsorgung;Altöl;;;;;kg;kg;EEW 2023;0.288;0;0;0;0;0;0;0;0;0;0;0;0;0;;
47af4bc1-d725-4df5-b877-db3c0763aacb;3;Holz, Papier und Pappe;Altpapier;;;;;kg;kg;Gemis 5.1;0.351;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8e1acc02-0f2b-4def-9d00-285853c8ab1d;3;Holz, Papier und Pappe;Altpapierstoff;;;;;kg;kg;EEW 2023;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d5dc7c42-7143-46a0-bf6f-f04c9b231fed;3;Metalle;Aluminium; Gusslegierung;;;;kg;kg;ProBas;5.398;0;0;0;0;0;0;0;0;0;0;0;0;0;;
e94f7c5b-23da-42d2-aa8c-738cbd54bfa4;3;Metalle;Aluminium; Gusslegierung;;;;kg;kg;EEW 2023;5.71;0;0;0;0;0;0;0;0;0;0;0;0;0;;
63e81461-145a-4d1d-ae8e-d4f9bcc42564;3;Metalle;Aluminium;Knetlegierung;;;;kg;kg;ProBas;8.488;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4417fcb5-4e9e-4320-937a-cac7a897cc92;3;Metalle;Aluminium;Knetlegierung;;;;kg;kg;EEW 2023;13.923;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d3ea278d-2cee-4e60-ada1-191483ec86b4;3;Metalle;Aluminium;primär;;;;kg;kg;Gemis 5.1;11.316;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0b242693-7f40-44bb-864e-f38b4cd87f83;3;Metalle;Aluminium;primär;;;;kg;kg;EEW 2023;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;
91826d81-7158-4d9e-93d5-7fa3f40a1be5;3;Metalle;Aluminium;sekundär;;;;kg;kg;Gemis 5.1;1.669;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d94fd2c0-aebe-400b-bfd1-f39ac421151f;3;Metalle;Aluminium;sekundär;;;;kg;kg;EEW 2023;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;;
78e5b962-a056-426b-a503-7bc41a2a692f;3;Metalle;Aluminiumbronze;;;;;kg;kg;EEW 2023;7.03;0;0;0;0;0;0;0;0;0;0;0;0;0;;
38f2d5fc-cfb3-4ffd-acd2-5b818e7e3eb3;3;Chemische Grundstoffe und Produkte;Aluminiumfluorid;;;;;kg;kg;Gemis 5.1;1.558;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6a07438d-1bfa-40a3-8a72-a719cf114f9f;3;Chemische Grundstoffe und Produkte;Aluminiumoxid;;;;;kg;kg;Gemis 5.1;1.264;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5757e2c7-47e3-402a-a90b-aa925e2a2355;3;Chemische Grundstoffe und Produkte;Alumiumhydroxid;;;AlOH3;;kg;kg;EEW 2023;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;;
295b9ee5-9624-4f15-854c-a194578237a4;3;Mineralien und Baustoffe;Alumosilikat;;;;;kg;kg;EEW 2023;0.029;0;0;0;0;0;0;0;0;0;0;0;0;0;;
91996648-4ed3-463e-a201-e2757dbd5829;3;Chemische Grundstoffe und Produkte;Ameisenaldehyd;;; CH2O;;kg;kg;EEW 2023;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;;
44267c62-6bc0-457c-b28e-867e546985fd;3;Chemische Grundstoffe und Produkte;Ameisensäure;;; CH2O2;;kg;kg;EEW 2023;2.29;0;0;0;0;0;0;0;0;0;0;0;0;0;;
dbdcff45-24c7-4398-bca1-795c5ff60cd9;3;Chemische Grundstoffe und Produkte;Ameisensäurealdehyd;;; CH2O;;kg;kg;EEW 2023;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1ba28998-22c9-400f-be62-172bb692bd35;3;Chemische Grundstoffe und Produkte;Amin;;; NMe3;;kg;kg;EEW 2023;2.37;0;0;0;0;0;0;0;0;0;0;0;0;0;;
bb52abb8-052a-45ee-a258-68057b690de5;3;Chemische Grundstoffe und Produkte;Aminobenzol;;; C6H7N;;kg;kg;EEW 2023;3.35;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4a7ad34a-f0a9-44eb-8c98-eb7c1f27372b;1;Technische Gase;Ammoniak;;;NH3;;kg;kg;EEW 2023;2.73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0a94ce4f-0bad-44ed-9942-eebef2bc3973;3;Chemische Grundstoffe und Produkte;Ammoniak;;; NH3;;kg;kg;EEW 2023;2.73;0;0;0;0;0;0;0;0;0;0;0;0;0;;
d6f263cd-1c0c-4df8-be9e-0bcf1f33a40a;3;Chemische Grundstoffe und Produkte;Ammoniumnitrat;;;;;kg;kg;Gemis 5.1;1.802;0;0;0;0;0;0;0;0;0;0;0;0;0;;
